Geneid	SRR5364319	SRR5364322	SRR5364325	SRR5364316	SRR5364317	SRR5364318	SRR5364321	SRR5364323	SRR5364330
ENSMUSG00000000001	2000	2631	1966	2279	2040	2084	1792	1962	2190
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	106	117	111	96	102	100	93	96	111
ENSMUSG00000000031	42	108	34	46	56	33	32	65	42
ENSMUSG00000000037	28	37	16	31	34	36	21	23	25
ENSMUSG00000000049	12	12	8	8	15	10	11	9	17
ENSMUSG00000000056	3587	4711	3989	4198	4029	3674	3861	3767	4227
ENSMUSG00000000058	773	1085	854	938	766	1006	655	849	895
ENSMUSG00000000078	1618	1969	1593	1675	1445	1585	1508	1523	1744
ENSMUSG00000000085	1706	2124	1618	1602	1528	1434	1492	1580	1891
ENSMUSG00000000088	3155	4446	3543	3444	3220	3221	2772	3420	3723
ENSMUSG00000000093	49	65	69	34	45	51	62	50	67
ENSMUSG00000000094	1	13	8	8	11	6	9	4	7
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	181	140	217	155	117	128	223	204	258
ENSMUSG00000000125	584	668	613	556	521	563	702	583	808
ENSMUSG00000000126	39	58	44	58	37	49	32	44	76
ENSMUSG00000000127	1337	1726	1318	1617	1496	1620	1273	1280	1333
ENSMUSG00000000131	3730	4325	3588	3341	3282	3379	3893	3515	4188
ENSMUSG00000000134	1503	1644	1461	1415	1235	1391	1425	1466	1770
ENSMUSG00000000142	838	855	819	802	684	776	847	763	935
ENSMUSG00000000148	829	1073	714	667	703	680	774	751	862
ENSMUSG00000000149	2359	3920	2314	2645	2668	2543	2051	2526	2477
ENSMUSG00000000154	27	22	41	19	15	19	30	25	45
ENSMUSG00000000157	11	7	9	10	7	7	9	17	25
ENSMUSG00000000159	18	26	16	8	10	25	13	17	24
ENSMUSG00000000167	47	56	70	71	42	60	59	59	86
ENSMUSG00000000168	4397	5293	4685	4786	4199	4483	4390	4725	5715
ENSMUSG00000000171	3594	4647	3720	3382	3528	3869	2865	3418	3881
ENSMUSG00000000182	38	37	37	18	28	28	34	34	50
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	318	572	270	404	387	445	195	379	357
ENSMUSG00000000194	2221	2996	2159	2361	2083	2148	2107	2347	2562
ENSMUSG00000000197	4292	4148	3694	4081	3772	4333	3989	4476	4210
ENSMUSG00000000202	1039	1277	1001	988	932	870	930	958	1048
ENSMUSG00000000204	19	8	10	4	1	49	2	59	35
ENSMUSG00000000214	378	304	328	261	321	372	448	360	673
ENSMUSG00000000215	4	9	8	1	3	5	4	5	16
ENSMUSG00000000216	73	70	99	56	85	49	124	82	131
ENSMUSG00000000223	1180	1735	1082	1373	1213	1102	1223	1350	1402
ENSMUSG00000000244	4	8	8	2	9	5	6	8	10
ENSMUSG00000000247	40	61	68	38	25	63	51	7	56
ENSMUSG00000000248	1	0	0	0	0	0	0	0	0
ENSMUSG00000000253	944	1105	880	825	837	1074	793	891	1052
ENSMUSG00000000263	22	24	53	55	54	177	56	92	79
ENSMUSG00000000266	2111	1929	1964	1835	1741	1896	1970	1909	2167
ENSMUSG00000000275	247	306	226	224	195	286	257	332	306
ENSMUSG00000000276	3593	4265	3700	3660	3451	3433	3860	4012	4441
ENSMUSG00000000278	581	743	610	587	523	595	569	622	736
ENSMUSG00000000282	1114	1346	1081	1234	1045	1140	1195	1000	1318
ENSMUSG00000000290	104	106	134	64	78	99	122	106	111
ENSMUSG00000000295	251	265	278	190	210	249	207	186	294
ENSMUSG00000000296	238	355	319	256	244	293	206	249	348
ENSMUSG00000000301	46	63	41	41	48	40	37	48	62
ENSMUSG00000000303	343	548	491	449	370	268	497	401	650
ENSMUSG00000000305	657	842	547	799	704	738	589	632	672
ENSMUSG00000000308	5412	6180	5384	4816	4613	6340	4488	5505	5638
ENSMUSG00000000317	59	174	51	117	74	149	69	73	79
ENSMUSG00000000318	27	64	45	49	44	36	43	44	63
ENSMUSG00000000320	14	12	13	8	8	13	18	17	22
ENSMUSG00000000326	1816	2570	1929	1959	1720	1498	1629	2164	2055
ENSMUSG00000000339	1674	1834	2029	1443	1366	1505	1758	1517	2135
ENSMUSG00000000340	873	1019	870	956	863	603	804	950	941
ENSMUSG00000000346	5577	7012	6347	5591	5218	5725	5437	5752	7125
ENSMUSG00000000355	1921	2436	1745	1795	1841	1991	1521	1823	1940
ENSMUSG00000000359	35	34	35	26	24	25	29	39	26
ENSMUSG00000000365	69	75	63	55	50	61	55	32	55
ENSMUSG00000000374	4143	5036	4480	4123	3889	3960	4430	4183	5126
ENSMUSG00000000378	1123	1584	1037	1219	1202	1284	814	1174	1130
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	1284	1594	1303	1211	1168	1158	1266	1280	1507
ENSMUSG00000000385	22	19	20	12	15	28	18	27	31
ENSMUSG00000000386	9	11	12	4	11	14	9	10	11
ENSMUSG00000000392	88	144	98	83	99	108	67	106	128
ENSMUSG00000000394	0	1	2	0	0	0	1	0	0
ENSMUSG00000000399	2968	3454	3292	2890	2751	3004	2537	2961	3172
ENSMUSG00000000402	10	10	3	12	12	26	7	13	24
ENSMUSG00000000409	10	9	11	5	7	8	13	2	11
ENSMUSG00000000411	4	3	2	0	2	2	2	2	6
ENSMUSG00000000416	2554	2865	2066	2578	2517	2522	2479	2488	2506
ENSMUSG00000000420	2893	3177	3075	2930	2878	2829	2549	2772	3196
ENSMUSG00000000435	1	0	0	0	0	0	0	0	0
ENSMUSG00000000439	1029	1193	1112	942	940	905	922	953	1134
ENSMUSG00000000440	100	114	85	86	95	112	89	110	128
ENSMUSG00000000441	1745	2183	1702	1771	1642	1696	1607	1752	1716
ENSMUSG00000000486	96	97	83	73	65	90	133	95	112
ENSMUSG00000000489	354	400	429	328	325	289	357	335	407
ENSMUSG00000000530	463	583	532	464	406	468	426	442	542
ENSMUSG00000000531	127	223	176	117	119	136	159	136	223
ENSMUSG00000000532	4132	4726	3790	4070	3609	3682	3827	3900	4458
ENSMUSG00000000538	9151	10194	9338	8322	7705	8914	9415	9638	11133
ENSMUSG00000000544	0	0	0	0	0	0	1	0	0
ENSMUSG00000000552	3538	4426	4028	3469	3318	3323	4168	3912	4914
ENSMUSG00000000555	109	156	117	105	107	93	115	103	133
ENSMUSG00000000560	962	1311	459	1228	1024	727	669	1330	887
ENSMUSG00000000561	1606	1923	1582	1476	1413	1646	1515	1595	1745
ENSMUSG00000000562	7	14	7	10	9	10	12	9	11
ENSMUSG00000000563	9355	11189	9380	9136	8929	10354	7655	8931	10285
ENSMUSG00000000567	1155	932	1020	1246	843	1045	1233	1077	1231
ENSMUSG00000000568	6937	7001	7169	7414	6213	6047	7796	7635	8881
ENSMUSG00000000579	480	541	498	451	437	371	435	540	449
ENSMUSG00000000581	1787	1969	1850	1625	1652	1971	1531	1727	1982
ENSMUSG00000000594	2905	3880	3091	3017	2782	2830	2528	2944	3393
ENSMUSG00000000600	3645	4481	2953	3716	3543	3577	2943	3321	3017
ENSMUSG00000000605	7201	8787	7005	7515	7048	7447	6059	7511	7438
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	1	2	0	0	0	2	0	1
ENSMUSG00000000627	2205	2696	2114	2096	1915	1724	2193	2245	2484
ENSMUSG00000000628	392	482	313	537	469	320	534	416	492
ENSMUSG00000000631	3534	4148	4090	3713	3353	3440	4239	3805	4732
ENSMUSG00000000632	3721	4044	3405	3111	2897	3211	3779	3656	4175
ENSMUSG00000000673	8	7	18	7	7	7	12	13	21
ENSMUSG00000000682	42	37	38	31	34	51	28	32	34
ENSMUSG00000000686	32	39	66	30	23	19	45	38	47
ENSMUSG00000000690	0	0	1	3	1	0	0	1	0
ENSMUSG00000000693	108	143	94	122	107	118	127	114	130
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	21	9	24	19	10	18	34	23	38
ENSMUSG00000000708	5883	6088	7163	5278	4820	4927	6467	5673	7722
ENSMUSG00000000711	5797	7439	6477	5758	5014	5172	5417	5909	6728
ENSMUSG00000000724	0	0	1	0	1	0	1	2	0
ENSMUSG00000000730	3	2	1	1	2	2	4	3	0
ENSMUSG00000000731	9	2	23	0	4	1	15	2	24
ENSMUSG00000000732	556	521	852	449	391	447	845	554	986
ENSMUSG00000000738	2305	2841	2573	2050	2049	2074	2475	2191	2779
ENSMUSG00000000739	7	10	6	9	9	4	12	5	10
ENSMUSG00000000740	5856	7461	6916	5551	5322	6337	5090	5700	6920
ENSMUSG00000000743	2033	2511	2249	1866	1851	2018	1753	1903	2220
ENSMUSG00000000751	3205	3766	3746	3378	3080	3150	3234	3375	4070
ENSMUSG00000000753	390	594	435	450	411	448	354	475	454
ENSMUSG00000000759	2055	2482	1904	1852	1855	2113	1880	2107	2072
ENSMUSG00000000766	14	15	24	27	15	25	17	9	23
ENSMUSG00000000776	682	742	606	583	576	631	570	617	651
ENSMUSG00000000782	105	123	127	117	114	99	101	100	130
ENSMUSG00000000787	18142	18326	20667	24323	23076	26117	23636	22864	28237
ENSMUSG00000000791	82	92	194	82	64	49	206	77	249
ENSMUSG00000000792	205	292	304	137	140	267	267	191	385
ENSMUSG00000000794	472	455	347	489	431	444	417	431	564
ENSMUSG00000000804	4936	5240	4983	5146	4833	4937	4698	5276	5619
ENSMUSG00000000805	5061	8319	3261	5569	5430	5261	3369	5655	3313
ENSMUSG00000000811	226	206	281	173	155	192	253	206	315
ENSMUSG00000000817	7	8	6	2	12	8	5	4	6
ENSMUSG00000000823	1850	2177	2114	1432	1331	1510	2319	1790	2383
ENSMUSG00000000826	14308	17235	15275	14519	13330	13336	14326	14593	17002
ENSMUSG00000000827	2358	3127	2319	2306	2279	2509	2070	2383	2405
ENSMUSG00000000838	4615	5097	4753	4994	4488	4251	4345	4578	4986
ENSMUSG00000000861	450	545	471	516	507	533	490	496	578
ENSMUSG00000000869	3	3	5	6	1	3	6	4	7
ENSMUSG00000000876	402	541	362	467	408	369	335	452	391
ENSMUSG00000000881	3501	3918	3432	3748	3360	3439	3545	3730	4099
ENSMUSG00000000884	91	111	131	61	74	92	106	93	134
ENSMUSG00000000889	67	37	4	29	59	164	21	98	286
ENSMUSG00000000901	59	58	36	32	22	44	66	71	69
ENSMUSG00000000902	1652	2194	1782	1542	1560	1483	1772	1643	1926
ENSMUSG00000000903	0	1	0	1	0	2	3	1	1
ENSMUSG00000000915	2548	3292	2633	2411	2315	2554	2691	2556	3165
ENSMUSG00000000916	514	698	473	426	421	481	482	502	490
ENSMUSG00000000934	297	397	253	326	295	293	261	328	304
ENSMUSG00000000938	0	1	0	0	0	0	0	0	0
ENSMUSG00000000942	0	4	0	0	6	10	2	22	0
ENSMUSG00000000948	525	612	639	785	685	483	567	455	467
ENSMUSG00000000957	518	780	758	474	450	549	759	749	988
ENSMUSG00000000958	23	30	14	23	16	26	19	18	16
ENSMUSG00000000959	1877	2368	2010	1898	1699	1761	1762	1816	2160
ENSMUSG00000000976	1222	1528	1175	1162	1026	1020	1184	1217	1296
ENSMUSG00000000982	0	2	2	1	1	1	0	4	0
ENSMUSG00000000983	10	19	5	13	16	13	2	3	2
ENSMUSG00000001014	0	0	0	0	0	0	0	0	0
ENSMUSG00000001016	1910	2187	2078	1686	1589	1586	1665	1658	1916
ENSMUSG00000001017	5906	7416	5733	6051	5767	5537	4996	5858	6052
ENSMUSG00000001018	2199	2482	2082	1960	1951	2138	2097	2070	2344
ENSMUSG00000001020	4	2	5	0	3	1	2	3	2
ENSMUSG00000001021	3	2	5	1	2	3	1	4	1
ENSMUSG00000001023	4	6	3	6	3	1	3	0	4
ENSMUSG00000001025	227	402	325	313	288	274	210	242	366
ENSMUSG00000001027	0	6	2	0	1	1	0	1	6
ENSMUSG00000001029	59	89	77	69	56	88	53	67	85
ENSMUSG00000001034	1242	1673	1016	909	992	979	1101	1119	1172
ENSMUSG00000001036	6549	7767	6255	6049	5750	5826	6056	6211	6742
ENSMUSG00000001039	641	811	507	637	549	683	441	565	516
ENSMUSG00000001052	2883	3250	2595	2697	2445	2554	2951	2876	3076
ENSMUSG00000001053	522	543	531	489	405	447	453	468	529
ENSMUSG00000001054	889	1168	860	935	863	784	775	836	972
ENSMUSG00000001056	476	611	593	450	441	517	389	469	571
ENSMUSG00000001062	1279	1535	1095	937	1126	1188	1151	1140	1281
ENSMUSG00000001065	587	813	532	609	615	607	469	574	523
ENSMUSG00000001076	5	10	29	12	1	69	5	17	35
ENSMUSG00000001082	775	823	663	524	501	655	648	647	727
ENSMUSG00000001089	6092	7221	5773	6867	6133	6653	5809	6294	6175
ENSMUSG00000001095	0	0	0	0	0	0	0	0	1
ENSMUSG00000001098	792	1050	791	839	752	850	706	727	853
ENSMUSG00000001100	3625	4322	4049	3410	3274	3390	3393	3432	4445
ENSMUSG00000001103	304	407	258	296	274	214	260	292	244
ENSMUSG00000001105	1287	1677	1132	1146	1129	1394	1034	1148	1162
