"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000033880",959.429190177157,1.76620057105796,0.163346435665949,10.8126055145147,3.00025334578388e-27,4.50938077871318e-23,"Upregulated"
"ENSMUSG00000079017",92.0081789712061,2.78718403011746,0.341370442486821,8.16469056258455,3.22260224537035e-16,2.42178558739582e-12,"Upregulated"
"ENSMUSG00000115529",156.707227707545,-1.68087819487258,0.215599620939319,-7.79629475946841,6.37513761589292e-15,3.19394394556235e-11,"Downregulated"
"ENSMUSG00000005397",1057.81605449208,-0.797876099623313,0.105064555828761,-7.59415098012434,3.09817001513101e-14,1.16413738318548e-10,"Not significant"
"ENSMUSG00000006522",3823.27038275753,0.7170930107981,0.0956798343341435,7.49471417659222,6.64429906836361e-14,1.9972762999501e-10,"Not significant"
"ENSMUSG00000064215",867.426100966568,1.04466281235621,0.141555894108727,7.37986093008475,1.58454957754266e-13,3.96929669174435e-10,"Upregulated"
"ENSMUSG00000046718",215.48741696522,1.62808374068747,0.221230202476364,7.35922908564627,1.8497535146713e-13,3.97168504650138e-10,"Upregulated"
"ENSMUSG00000033355",107.580769872869,1.77110802235033,0.246715426807739,7.1787485900933,7.03523785515357e-13,1.32174531203698e-09,"Upregulated"
"ENSMUSG00000052229",849.619754325479,-0.959672616253771,0.134011662667247,-7.16111267596649,8.00248377346162e-13,1.33641479016809e-09,"Not significant"
"ENSMUSG00000022899",1421.18081949304,-1.09346810238543,0.159074508073283,-6.873936720783,6.24539205646247e-12,9.38682426086309e-09,"Downregulated"
"ENSMUSG00000002100",1651.2353681661,-0.707473582225451,0.107524136516208,-6.57967229635745,4.71486265253568e-11,6.07256006774013e-08,"Not significant"
"ENSMUSG00000026879",3136.60370836655,-0.727006029907915,0.110562519726816,-6.57551973041357,4.84835135148913e-11,6.07256006774013e-08,"Not significant"
"ENSMUSG00000025498",152.919216025413,1.41330546433088,0.238458241469646,5.92684679556687,3.08806829948814e-09,3.57028204163898e-06,"Upregulated"
"ENSMUSG00000031425",67204.9257049043,-0.669306523656861,0.114292584990008,-5.85608002229871,4.73919931965633e-09,5.08786898388819e-06,"Not significant"
