"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000032854",3617.43743376585,-1.9901040331221,0.110175641741029,-18.0630128554177,6.23261247697416e-73,1.31788590825619e-68,"Downregulated"
"ENSMUSG00000045193",2365.60480113121,1.62061151689869,0.095277358436283,17.0094085677499,6.99402443373632e-65,7.39443233256772e-61,"Upregulated"
"ENSMUSG00000050211",482.594913881794,1.94531117481579,0.123545283952981,15.7457339735942,7.34736436716764e-56,5.17866731812533e-52,"Upregulated"
"ENSMUSG00000052229",849.619754325479,-1.8917143836878,0.122852275192463,-15.3982853042339,1.68067135485812e-53,8.88444894961872e-50,"Downregulated"
"ENSMUSG00000031425",67204.9257049043,-1.50541837102368,0.102261534215248,-14.7212574363979,4.7082351130775e-49,1.99111262932047e-45,"Downregulated"
"ENSMUSG00000028364",502.931190255719,-1.75377660152881,0.123491302953952,-14.2016203536436,8.9518331122008e-46,3.1547751859581e-42,"Downregulated"
"ENSMUSG00000021186",759.455298257598,1.62607232799649,0.115134371131829,14.1232571300071,2.73072442115423e-45,8.24873826932944e-42,"Upregulated"
"ENSMUSG00000022548",11070.2226138668,1.31388861919232,0.0931790458234534,14.1006876340175,3.76087136655591e-45,9.94045313072809e-42,"Upregulated"
"ENSMUSG00000005397",1057.81605449208,-1.30136873920526,0.0951207016604928,-13.681235698304,1.31439855155937e-42,3.08810637474698e-39,"Downregulated"
"ENSMUSG00000004110",8661.84605776047,-1.17053677934703,0.0866913587722419,-13.5023466689719,1.51473328209621e-41,2.91173047726585e-38,"Downregulated"
"ENSMUSG00000110125",123.600864372544,3.16082045440251,0.234005400904383,13.507467956665,1.41298104443524e-41,2.91173047726585e-38,"Upregulated"
"ENSMUSG00000006522",3823.27038275753,1.11962235956176,0.0854168264852973,13.1077494403808,2.97290038827845e-39,5.23849822584566e-36,"Upregulated"
"ENSMUSG00000050503",192.491653184773,-2.84314014494216,0.225005726771791,-12.6358568101059,1.3392728644444e-36,2.1783788245136e-33,"Downregulated"
"ENSMUSG00000085873",388.050570981912,1.54235001072991,0.123159563483578,12.5231851031656,5.57520984200965e-36,8.42055800780672e-33,"Upregulated"
"ENSMUSG00000115529",156.707227707545,-2.41803434682207,0.201803836450021,-11.9821029637408,4.40993076759984e-33,5.48517565181757e-30,"Downregulated"
"ENSMUSG00000022899",1421.18081949304,1.61147464348993,0.136251798103741,11.827180748565,2.82470423009777e-32,3.31824283030097e-29,"Upregulated"
"ENSMUSG00000043872",765.500046415054,-1.35123091741495,0.11483075168448,-11.7671520702723,5.7637583315672e-32,6.41445631163097e-29,"Downregulated"
"ENSMUSG00000029657",5289.92550738016,-1.00718076531305,0.0872127718296505,-11.5485466656231,7.50792778853876e-31,7.55976824231677e-28,"Downregulated"
"ENSMUSG00000038173",621.379899913465,-1.4084608513368,0.123252966191101,-11.4273992331593,3.05110688161213e-30,2.93252977325857e-27,"Downregulated"
"ENSMUSG00000043448",438.076097479452,-1.49131002344689,0.131880142591803,-11.3080710570871,1.19691943063913e-29,1.05453589003602e-26,"Downregulated"
"ENSMUSG00000018566",396.669503407485,1.39353427677785,0.128150479269886,10.8742026149045,1.52987590150852e-27,1.24420099759222e-24,"Upregulated"
"ENSMUSG00000027669",951.154310158106,-1.03024936712807,0.0954927813938875,-10.7887669841609,3.88973113740174e-27,2.93744160358428e-24,"Downregulated"
"ENSMUSG00000033880",959.429190177157,1.55605360276754,0.147088923401532,10.5789991984627,3.72920175397073e-26,2.6284657029237e-23,"Upregulated"
"ENSMUSG00000097023",1470.59880026983,1.02695487631231,0.0985163037105474,10.4242124159431,1.92245408770352e-25,1.31129973175777e-22,"Upregulated"
"ENSMUSG00000025533",677.673901518876,1.10352614200163,0.105952631212135,10.4152783123638,2.11179000742409e-25,1.35314544566613e-22,"Upregulated"
"ENSMUSG00000097440",520.58377251601,-1.34879959564814,0.12975863973815,-10.3946804495638,2.62164215785465e-25,1.58384638365247e-22,"Downregulated"
"ENSMUSG00000015852",198.958239640381,-1.83790000985653,0.179687259512155,-10.2283267875885,1.48055235649261e-24,8.69618877167676e-22,"Downregulated"
"ENSMUSG00000036151",118.97893315474,-2.57267682466972,0.25196583098919,-10.2104194627092,1.78093250029446e-24,9.90995203124377e-22,"Downregulated"
"ENSMUSG00000027274",671.166278143483,-1.20709744506654,0.119610454266071,-10.0919058661995,5.99932266431085e-24,3.25270968556033e-21,"Downregulated"
"ENSMUSG00000006014",664.329998150596,1.26056209446638,0.125913293384949,10.0113503552999,1.35884954038498e-23,7.1832183828601e-21,"Upregulated"
"ENSMUSG00000045838",556.965383966672,1.32195079305441,0.13450683154281,9.82813123981484,8.51847667349609e-23,4.09370884684261e-20,"Upregulated"
"ENSMUSG00000025727",725.127093834855,1.3743692911305,0.140355418053001,9.79206439049978,1.21783604542209e-22,5.72247626232222e-20,"Upregulated"
"ENSMUSG00000050063",531.247491202796,-1.61014836033852,0.165844584412648,-9.70877864984851,2.766318903574e-22,1.27160463513201e-19,"Downregulated"
"ENSMUSG00000030711",781.015383642231,1.13104955320744,0.117147228059483,9.6549408120279,4.68429699789828e-22,1.99386161848454e-19,"Upregulated"
"ENSMUSG00000043924",184.501593119696,1.5917170166715,0.164871696701994,9.65427692266993,4.71473544214835e-22,1.99386161848454e-19,"Upregulated"
"ENSMUSG00000110016",173.238719372887,1.61819517763134,0.168048589445143,9.62932913018932,6.01206978881609e-22,2.49265128793169e-19,"Upregulated"
"ENSMUSG00000070436",1035.17176564988,-1.0740813177834,0.112909099717166,-9.51279675840076,1.85604131666852e-21,7.4049044605577e-19,"Downregulated"
"ENSMUSG00000060794",154.572757892708,1.79351294020659,0.189207226522552,9.47909323110776,2.56502266273037e-21,9.68525075061317e-19,"Upregulated"
"ENSMUSG00000055945",1712.97237291896,-1.15360374783016,0.122156756781884,-9.44363437783443,3.60068741571617e-21,1.33572869132137e-18,"Downregulated"
"ENSMUSG00000029700",140.828284563329,-1.70479097142489,0.185829031142854,-9.17397545981041,4.55888872145563e-20,1.46057124265423e-17,"Downregulated"
"ENSMUSG00000024136",279.043102355499,-1.6919991811501,0.184486481664743,-9.17139925853687,4.66918307602109e-20,1.47358024093233e-17,"Downregulated"
"ENSMUSG00000132973",289.879528123082,-1.36668272500464,0.151193612602078,-9.03928877340588,1.57694462463013e-19,4.76349915540057e-17,"Downregulated"
"ENSMUSG00000107451",214.572874299305,1.32849324725854,0.148191508692537,8.96470559601936,3.11110842765032e-19,9.01155995926931e-17,"Upregulated"
"ENSMUSG00000116180",217.455407720984,1.40731708465511,0.158914457411368,8.85581530830834,8.30743350128539e-19,2.34214241846239e-16,"Upregulated"
"ENSMUSG00000034164",362.430203333785,-1.10399240935244,0.125364486878854,-8.80626114171616,1.29389400352534e-18,3.59991956638727e-16,"Downregulated"
"ENSMUSG00000047945",1009.47606827732,-1.20653342490618,0.137361262136003,-8.78365127215832,1.58251812629682e-18,4.34575919227873e-16,"Downregulated"
"ENSMUSG00000005057",245.17829785067,1.23341630752665,0.140525077301453,8.77719714667537,1.67599062683287e-18,4.48592681068114e-16,"Upregulated"
"ENSMUSG00000074252",137.345797237135,1.53650003902182,0.180563962177147,8.50945017209137,1.74760074361095e-17,4.45217081007873e-15,"Upregulated"
"ENSMUSG00000027849",580.879453834191,1.09271433359077,0.12880955059581,8.48317790518181,2.191252275057e-17,5.51595587572385e-15,"Upregulated"
"ENSMUSG00000030048",64.5787865173567,-2.77145152950275,0.326844647006094,-8.4794153885931,2.26328270735378e-17,5.63024857023478e-15,"Downregulated"
"ENSMUSG00000054072",143.349364843313,1.6610665767951,0.196618527671881,8.44816913473742,2.95906491678422e-17,7.27551484481424e-15,"Upregulated"
"ENSMUSG00000035929",188.666010417081,1.38217388371762,0.163895983324858,8.43323829955014,3.36229065836267e-17,8.17191218058376e-15,"Upregulated"
"ENSMUSG00000104674",109.348607922994,1.91895412619444,0.228144819598917,8.4111229418577,4.06103785718721e-17,9.64838713373298e-15,"Upregulated"
"ENSMUSG00000120773",635.137510245843,-1.11033863235239,0.134959686343829,-8.22718741005105,1.91660469270291e-16,4.2659585502319e-14,"Downregulated"
"ENSMUSG00000089817",134.622830023219,-1.76110308115007,0.215343289148418,-8.17811917016037,2.88308564296471e-16,6.15786322429179e-14,"Downregulated"
"ENSMUSG00000005107",120.620762062279,1.5998780383781,0.197476355835101,8.10161819936585,5.4232917538343e-16,1.10264907821948e-13,"Upregulated"
"ENSMUSG00000074340",557.87175719714,1.02481305933239,0.12648381297371,8.10232578571463,5.39183226055482e-16,1.10264907821948e-13,"Upregulated"
"ENSMUSG00000049107",166.723694305045,-1.63019210480403,0.203049199596303,-8.02855715779791,9.86256612174095e-16,1.93096259855752e-13,"Downregulated"
"ENSMUSG00000022769",269.556617185911,-1.36411739821217,0.170012321558523,-8.023638438127,1.02658172039184e-15,1.99147435575096e-13,"Downregulated"
"ENSMUSG00000113689",139.334590021618,-1.52311276250555,0.190354738709225,-8.0014438980275,1.22968613333185e-15,2.34249669272991e-13,"Downregulated"
"ENSMUSG00000066245",222.506303411245,1.23213095391389,0.155472911320997,7.92505230296981,2.28050324170687e-15,4.30546795052605e-13,"Upregulated"
"ENSMUSG00000018727",101.872956183165,-1.68331962755901,0.215040623960363,-7.82791454264609,4.96028897625442e-15,8.82954799698142e-13,"Downregulated"
"ENSMUSG00000035711",175.821820090082,-1.64408737567815,0.210165063660174,-7.82283861572997,5.16452974903458e-15,9.10033179527802e-13,"Downregulated"
"ENSMUSG00000044177",250.547531307076,1.52858885973698,0.196217930768408,7.79026082759553,6.68710078281652e-15,1.1495833012411e-12,"Upregulated"
"ENSMUSG00000115149",363.396455650674,-1.018088480826,0.131934974221489,-7.71659286579203,1.19480532154403e-14,1.97376238469128e-12,"Downregulated"
"ENSMUSG00000127251",429.178639161747,1.13258445247329,0.147240590327612,7.69206677284626,1.44777021036667e-14,2.31917432562145e-12,"Upregulated"
"ENSMUSG00000104093",139.612284838346,1.4152785973382,0.185995152892279,7.60922301108497,2.7574859480274e-14,4.3190400274844e-12,"Upregulated"
"ENSMUSG00000050121",483.927787031983,-1.222765172779,0.162387438146373,-7.52992464649158,5.07696130886506e-14,7.56002442788392e-12,"Downregulated"
"ENSMUSG00000032446",1112.65069089367,-1.79850943721333,0.239958818577773,-7.49507539615768,6.62602638871689e-14,9.66257434409784e-12,"Downregulated"
"ENSMUSG00000046879",322.283888191845,1.18266538657827,0.157893478922499,7.49027378868999,6.87300886691751e-14,9.95409400623087e-12,"Upregulated"
"ENSMUSG00000079363",292.482053727758,2.48422845553566,0.332149449760836,7.47924904685053,7.47485020154783e-14,1.06794396967384e-11,"Upregulated"
"ENSMUSG00000000791",124.647006399558,1.45549796741118,0.194990435079053,7.46445827879242,8.36430109531609e-14,1.17908764440306e-11,"Upregulated"
"ENSMUSG00000114277",144.303928736516,1.38761034546432,0.185876764636203,7.46521679662407,8.31625732112678e-14,1.17908764440306e-11,"Upregulated"
"ENSMUSG00000027824",82.7461185415342,1.77811318730653,0.240013223431326,7.40839676200296,1.27835369030122e-13,1.75524602476748e-11,"Upregulated"
"ENSMUSG00000049721",299.575312917868,-1.11302039691952,0.150324969826648,-7.40409526243735,1.32047610754258e-13,1.80138498670889e-11,"Downregulated"
