"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035456","response to interferon-beta","11/290","80/25730",0.1375,12.1995689655172,10.7116041822229,1.6227602778698e-09,5.01270649833982e-06,4.31995867656077e-06,"Iigp1/Irgm1/Igtp/Gbp6/Bst2/Tgtp1/Tgtp2/Oas1b/Iigp1c/Ifitm6/Oas1c",11
"GO:0035458","cellular response to interferon-beta","9/290","70/25730",0.128571428571429,11.4073891625616,9.30924343841483,9.24041887940573e-08,0.000142718269592421,0.000122994838663248,"Iigp1/Irgm1/Igtp/Gbp6/Tgtp1/Tgtp2/Oas1b/Iigp1c/Oas1c",9
"GO:0034341","response to type II interferon","12/290","152/25730",0.0789473684210526,7.00453720508167,7.92720230219919,1.67561763546373e-07,0.000172532762531582,0.00014868901754694,"Irgm1/Gbp4/Il12rb1/Igtp/Gbp6/Bst2/Tgtp1/Gbp5/Nlrc5/Ciita/Rab7b/Ifitm6",12
"GO:0035872","nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway","6/290","28/25730",0.214285714285714,19.012315270936,10.1816225938312,5.95322911841498e-07,0.000374240096194551,0.00032252072831474,"Slc15a2/Irgm1/Igtp/Hspa1b/Hspa1a/Inava",6
"GO:0001961","positive regulation of cytokine-mediated signaling pathway","8/290","64/25730",0.125,11.0905172413793,8.62931295819635,6.0576253835311e-07,0.000374240096194551,0.00032252072831474,"Irgm1/Igtp/Hspa1b/Irf7/Zbp1/Nlrc5/Hspa1a/Mmp8",8
"GO:0045089","positive regulation of innate immune response","19/290","443/25730",0.0428893905191874,3.80532420020238,6.35899035054068,7.92154538278895e-07,0.000407827561457251,0.00035146646093111,"Slc15a2/Irgm1/Igtp/Cd274/Pla2g5/Gbp5/Hspa1b/Irf7/Zbp1/Adam8/Nlrc5/Hspa1a/Rab7b/Inava/Oas1b/Oas1c/Ltf/S100a9/Trim5",19
"GO:0060760","positive regulation of response to cytokine stimulus","8/290","70/25730",0.114285714285714,10.1399014778325,8.17549594151317,1.21867036715226e-06,0.000537781823447619,0.000463461256921514,"Irgm1/Igtp/Hspa1b/Irf7/Zbp1/Nlrc5/Hspa1a/Mmp8",8
"GO:0002833","positive regulation of response to biotic stimulus","19/290","478/25730",0.0397489539748954,3.52669167508296,5.9534705050925,2.42987256130702e-06,0.000938234542734674,0.000808572066782297,"Slc15a2/Irgm1/Igtp/Cd274/Pla2g5/Gbp5/Hspa1b/Irf7/Zbp1/Adam8/Nlrc5/Hspa1a/Rab7b/Inava/Oas1b/Oas1c/Ltf/S100a9/Trim5",19
"GO:0009636","response to toxic substance","13/290","240/25730",0.0541666666666667,4.8058908045977,6.32453973990356,3.75365576707054e-06,0.00128833807383121,0.0011102918637335,"Fbln5/Gjc2/Gpx3/Cps1/Muc2/Lcn2/Nr4a2/Ddc/Scn11a/Dhrs2/S100a9/Slc22a18/Hp",13
"GO:0002218","activation of innate immune response","16/290","369/25730",0.043360433604336,3.84711709186057,5.88148811166273,5.18453447048009e-06,0.0016015026979313,0.00138017765008886,"Slc15a2/Irgm1/Igtp/Cd274/Gbp5/Hspa1b/Irf7/Zbp1/Hspa1a/Rab7b/Inava/Oas1b/Oas1c/Ltf/S100a9/Trim5",16
"GO:0070431","nucleotide-binding oligomerization domain containing 2 signaling pathway","5/290","24/25730",0.208333333333333,18.4841954022989,9.1492589532866,6.26562694604131e-06,0.00175950196693833,0.00151634167909459,"Irgm1/Igtp/Hspa1b/Hspa1a/Inava",5
"GO:0042832","defense response to protozoan","6/290","43/25730",0.13953488372093,12.3801122694467,7.97399539367787,8.35903517757735e-06,0.00201831629280272,0.00173938828934524,"Iigp1/Gbp4/Igtp/Gbp6/Tgtp1/Tgtp2",6
"GO:0071346","cellular response to type II interferon","9/290","119/25730",0.0756302521008403,6.71022891915387,6.66600493330798,8.49404720182435e-06,0.00201831629280272,0.00173938828934524,"Irgm1/Gbp4/Il12rb1/Igtp/Gbp6/Gbp5/Nlrc5/Ciita/Rab7b",9
"GO:0140888","interferon-mediated signaling pathway","9/290","121/25730",0.0743801652892562,6.59931604445711,6.59148480534855,9.72811770598423e-06,0.00214643968527038,0.00184980523898001,"Irgm1/Igtp/Irf7/Zbp1/Nlrc5/Ciita/Oas1b/Ifitm6/Oas1c",9
"GO:0001562","response to protozoan","6/290","47/25730",0.127659574468085,11.3264856933235,7.56537569233696,1.41767873614519e-05,0.00291947307730166,0.0025160066833061,"Iigp1/Gbp4/Igtp/Gbp6/Tgtp1/Tgtp2",6
"GO:0002221","pattern recognition receptor signaling pathway","14/290","324/25730",0.0432098765432099,3.83375904640272,5.48048731319638,2.09815542717972e-05,0.00401951423406332,0.00346402395527291,"Slc15a2/Irgm1/Igtp/Cd274/Gbp5/Hspa1b/Irf7/Hspa1a/Rab7b/Inava/Oas1b/Oas1c/Ltf/S100a9",14
"GO:0007160","cell-matrix adhesion","12/290","244/25730",0.0491803278688525,4.36348219332956,5.63618325784873,2.32623207817377e-05,0.00401951423406332,0.00346402395527291,"Apod/Nid1/Grem1/Adam8/Itgb3/Itgad/Bst1/Ptk2b/Ccl28/Gp5/Cd3e/Actn3",12
"GO:0001959","regulation of cytokine-mediated signaling pathway","10/290","169/25730",0.0591715976331361,5.24994899000204,5.91820559945672,2.34222260320944e-05,0.00401951423406332,0.00346402395527291,"Irgm1/Igtp/Hspa1b/Irf7/Zbp1/Nlrc5/Hspa1a/Oas1b/Mmp8/Oas1c",10
"GO:0002758","innate immune response-activating signaling pathway","14/290","334/25730",0.0419161676646707,3.71897584142061,5.34008072186146,2.93060582990823e-05,0.00476454810978239,0.00410609537054733,"Slc15a2/Irgm1/Igtp/Cd274/Gbp5/Hspa1b/Irf7/Hspa1a/Rab7b/Inava/Oas1b/Oas1c/Ltf/S100a9",14
"GO:0046475","glycerophospholipid catabolic process","5/290","34/25730",0.147058823529412,13.0476673427992,7.50518778488538,3.74046261853408e-05,0.0056340587539696,0.00485544106891657,"Pla2g4e/Apoc1/Pla2g5/Pla2g4c/Pla2g4b",5
"GO:0060759","regulation of response to cytokine stimulus","10/290","179/25730",0.0558659217877095,4.95665575033712,5.67156259346806,3.83021151937072e-05,0.0056340587539696,0.00485544106891657,"Irgm1/Igtp/Hspa1b/Irf7/Zbp1/Nlrc5/Hspa1a/Oas1b/Mmp8/Oas1c",10
"GO:0009615","response to virus","16/290","443/25730",0.036117381489842,3.20448353701253,4.99703012535135,4.85349390238213e-05,0.00668196488326905,0.00575852828876231,"Irgm1/Gbp4/Il12rb1/Igtp/Bst2/Tgtp1/Ifi27l2a/Gbp5/Irf7/Zbp1/Nlrc5/Lcn2/Oas1b/Ifitm6/Oas1c/Trim5",16
"GO:0035455","response to interferon-alpha","5/290","36/25730",0.138888888888889,12.3227969348659,7.25840184233671,4.97524092959496e-05,0.00668196488326905,0.00575852828876231,"Bst2/Tgtp1/Oas1b/Ifitm6/Oas1c",5
"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","11/290","228/25730",0.0482456140350877,4.28055051421658,5.31225521080451,6.04395941526277e-05,0.00777907943072779,0.00670402340403489,"Slc15a2/Irgm1/Igtp/Gbp5/Hspa1b/Irf7/Hspa1a/Rab7b/Inava/Oas1b/Oas1c",11
"GO:0062207","regulation of pattern recognition receptor signaling pathway","10/290","196/25730",0.0510204081632653,4.52674173117523,5.29168719909702,8.2113152006969e-05,0.0101459010619811,0.00874375416528946,"Slc15a2/Irgm1/Igtp/Gbp5/Hspa1b/Irf7/Hspa1a/Rab7b/Ltf/S100a9",10
"GO:0008228","opsonization","4/290","23/25730",0.173913043478261,15.4302848575712,7.39205215555947,0.000118199538360305,0.0140430143844224,0.0121022928143001,"Pla2g5/C3/C1ra/Colec11",4
"GO:0046503","glycerolipid catabolic process","6/290","70/25730",0.0857142857142857,7.60492610837438,5.90800094770985,0.000139387182364456,0.0159469261601409,0.0137430871033025,"Pla2g4e/Apoc1/Pla2g5/Pla2g4c/Cps1/Pla2g4b",6
"GO:0051607","defense response to virus","13/290","351/25730",0.037037037037037,3.28607918263091,4.60425611142493,0.000193118735404086,0.0206981058923974,0.017837661584186,"Irgm1/Gbp4/Il12rb1/Igtp/Bst2/Gbp5/Irf7/Zbp1/Nlrc5/Oas1b/Ifitm6/Oas1c/Trim5",13
"GO:0060333","type II interferon-mediated signaling pathway","4/290","26/25730",0.153846153846154,13.6498673740053,6.89007880063681,0.000194316953991429,0.0206981058923974,0.017837661584186,"Irgm1/Igtp/Nlrc5/Ciita",4
"GO:0060338","regulation of type I interferon-mediated signaling pathway","5/290","48/25730",0.104166666666667,9.24209770114943,6.10233232594102,0.000202374382773411,0.0208378156129022,0.0179580636503143,"Irf7/Zbp1/Nlrc5/Oas1b/Oas1c",5
"GO:0048259","regulation of receptor-mediated endocytosis","8/290","144/25730",0.0555555555555556,4.92911877394636,5.04809017956395,0.000236977315318526,0.0236136428070621,0.0203502760760798,"Ntf3/Apoc1/Grem1/Itgb3/Aplnr/C3/Drd4/Rspo1",8
"GO:0019835","cytolysis","3/290","12/25730",0.25,22.1810344827586,7.83557899294926,0.000289116369626018,0.0279087645554616,0.024051819038954,"Igtp/Gbp5/Ccl28",3
"GO:0045071","negative regulation of viral genome replication","5/290","53/25730",0.0943396226415094,8.37020169160703,5.73451992471641,0.000323959994129833,0.0282846301798927,0.0243757406501674,"Bst2/Oas1b/Ifitm6/Oas1c/Ltf",5
"GO:0030198","extracellular matrix organization","12/290","323/25730",0.0371517027863777,3.29625280239137,4.43400486873049,0.00032914656550618,0.0282846301798927,0.0243757406501674,"Fbln5/Nid1/Serpinh1/Grem1/Kazald1/Itgb3/Has1/Adamtsl2/Mmp8/Nox1/Nphs1/Elf3",12
"GO:0071695","anatomical structure maturation","12/290","323/25730",0.0371517027863777,3.29625280239137,4.43400486873049,0.00032914656550618,0.0282846301798927,0.0243757406501674,"Plp1/Bfsp2/Grem1/Cabyr/Tdrd6/Tbx6/Ptk2b/C3/Nr4a2/Actn3/Ltf/Nox1",12
"GO:0045229","external encapsulating structure organization","12/290","324/25730",0.037037037037037,3.28607918263091,4.42127497511674,0.000338437383921232,0.0282846301798927,0.0243757406501674,"Fbln5/Nid1/Serpinh1/Grem1/Kazald1/Itgb3/Has1/Adamtsl2/Mmp8/Nox1/Nphs1/Elf3",12
"GO:0033688","regulation of osteoblast proliferation","4/290","30/25730",0.133333333333333,11.8298850574713,6.33679725165029,0.00034380213945994,0.0282846301798927,0.0243757406501674,"Fbln5/Grem1/Itgb3/Ltf",4
"GO:0043062","extracellular structure organization","12/290","325/25730",0.0369230769230769,3.27596816976127,4.40859459446565,0.000347949481008716,0.0282846301798927,0.0243757406501674,"Fbln5/Nid1/Serpinh1/Grem1/Kazald1/Itgb3/Has1/Adamtsl2/Mmp8/Nox1/Nphs1/Elf3",12
"GO:0070424","regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway","3/290","13/25730",0.230769230769231,20.474801061008,7.49870817514773,0.000372721817240556,0.028783442336402,0.0248056177842465,"Slc15a2/Hspa1b/Hspa1a",3
"GO:1901072","glucosamine-containing compound catabolic process","3/290","13/25730",0.230769230769231,20.474801061008,7.49870817514773,0.000372721817240556,0.028783442336402,0.0248056177842465,"Ovgp1/Chia1/Chil3",3
"GO:0045069","regulation of viral genome replication","6/290","85/25730",0.0705882352941176,6.26288032454361,5.18899801519023,0.00040387931032264,0.0297946644155197,0.0256770906295171,"Bst2/Top2a/Oas1b/Ifitm6/Oas1c/Ltf",6
"GO:0042742","defense response to bacterium","14/290","430/25730",0.0325581395348837,2.88869286287089,4.21684080084165,0.000410909386239022,0.0297946644155197,0.0256770906295171,"Slc15a2/Iigp1/Irgm1/Gbp4/Igtp/Gbp6/Gbp5/Inhca/Lcn2/Oas1b/Wfdc18/Oas1c/Ltf/Hp",14
"GO:0009395","phospholipid catabolic process","5/290","56/25730",0.0892857142857143,7.92179802955665,5.53628025837151,0.000419528689545967,0.0297946644155197,0.0256770906295171,"Pla2g4e/Apoc1/Pla2g5/Pla2g4c/Pla2g4b",5
"GO:0002832","negative regulation of response to biotic stimulus","8/290","157/25730",0.0509554140127389,4.52097518119921,4.72469577810604,0.000424397939230453,0.0297946644155197,0.0256770906295171,"Irgm1/Igtp/Cd274/Tap1/Nlrc5/Oas1b/Oas1c/Ltf",8
"GO:0061644","protein localization to CENP-A containing chromatin","3/290","14/25730",0.214285714285714,19.012315270936,7.19753438107399,0.000470425582089736,0.0322921027350043,0.0278293870667823,"H4c14/Cenpa/H4c9",3
"GO:0006334","nucleosome assembly","6/290","88/25730",0.0681818181818182,6.04937304075235,5.06587820363693,0.000486581260659063,0.0326749894386053,0.0281593594555325,"H4c14/H3c4/H1f4/H4c9/H3f4/Chaf1b",6
"GO:1903900","regulation of viral life cycle","7/290","124/25730",0.0564516129032258,5.00862068965517,4.77734752184501,0.000526339467474643,0.0345928215963653,0.0298121503525951,"Bst2/Top2a/Oas1b/Ifitm6/Oas1c/Ltf/Trim5",7
"GO:0032102","negative regulation of response to external stimulus","14/290","442/25730",0.0316742081447964,2.81026681229521,4.0987212346254,0.000539152139326911,0.0346408279260196,0.029853522286178,"Gpr17/Irgm1/Igtp/Fabp7/Grem1/Pla2g5/Tap1/Nlrc5/Ptgr1/Oas1b/Gp5/Oas1c/Drd4/Ltf",14
"GO:0033690","positive regulation of osteoblast proliferation","3/290","15/25730",0.2,17.7448275862069,6.92603918520036,0.000583141162885406,0.0346408279260196,0.029853522286178,"Fbln5/Itgb3/Ltf",3
"GO:0060330","regulation of response to type II interferon","3/290","15/25730",0.2,17.7448275862069,6.92603918520036,0.000583141162885406,0.0346408279260196,0.029853522286178,"Irgm1/Igtp/Nlrc5",3
"GO:0060334","regulation of type II interferon-mediated signaling pathway","3/290","15/25730",0.2,17.7448275862069,6.92603918520036,0.000583141162885406,0.0346408279260196,0.029853522286178,"Irgm1/Igtp/Nlrc5",3
"GO:1903265","positive regulation of tumor necrosis factor-mediated signaling pathway","3/290","15/25730",0.2,17.7448275862069,6.92603918520036,0.000583141162885406,0.0346408279260196,0.029853522286178,"Hspa1b/Hspa1a/Mmp8",3
"GO:0033687","osteoblast proliferation","4/290","36/25730",0.111111111111111,9.85823754789272,5.67851283630234,0.000700788765477165,0.0392604215127762,0.0338346956111877,"Fbln5/Grem1/Itgb3/Ltf",4
"GO:0050482","arachidonate secretion","4/290","36/25730",0.111111111111111,9.85823754789272,5.67851283630234,0.000700788765477165,0.0392604215127762,0.0338346956111877,"Bdkrb2/Pla2g5/Drd4/Lhcgr",4
"GO:1903963","arachidonate transport","4/290","36/25730",0.111111111111111,9.85823754789272,5.67851283630234,0.000700788765477165,0.0392604215127762,0.0338346956111877,"Bdkrb2/Pla2g5/Drd4/Lhcgr",4
"GO:0035630","bone mineralization involved in bone maturation","3/290","16/25730",0.1875,16.635775862069,6.67953925818597,0.000711746068214783,0.0392604215127762,0.0338346956111877,"Grem1/Actn3/Ltf",3
"GO:0071459","protein localization to chromosome, centromeric region","4/290","37/25730",0.108108108108108,9.59179869524697,5.58379474354583,0.000778823876788863,0.0408085988966725,0.0351689174182361,"H4c14/Cenpa/H4c9/Bub1b",4
"GO:0001894","tissue homeostasis","11/290","307/25730",0.0358306188925081,3.17904077277322,4.10084207259325,0.000779445560020614,0.0408085988966725,0.0351689174182361,"Mkks/Bdkrb2/Aipl1/Fosl2/Adam8/Itgb3/Ptk2b/Muc2/Inava/Dlk1/Ildr1",11
"GO:0060249","anatomical structure homeostasis","11/290","307/25730",0.0358306188925081,3.17904077277322,4.10084207259325,0.000779445560020614,0.0408085988966725,0.0351689174182361,"Mkks/Bdkrb2/Aipl1/Fosl2/Adam8/Itgb3/Ptk2b/Muc2/Inava/Dlk1/Ildr1",11
"GO:0060294","cilium movement involved in cell motility","10/290","263/25730",0.0380228136882129,3.37354136619903,4.13083343994011,0.000855495238069315,0.0434021037612273,0.0374040041615048,"Cacna1e/Mkks/Ttll8/Gapdhs/Garin2/Tac4/Taf7l/Tcte1/Klc3/Spem1",10
"GO:0009084","glutamine family amino acid biosynthetic process","3/290","17/25730",0.176470588235294,15.657200811359,6.45432786335825,0.000857082657635114,0.0434021037612273,0.0374040041615048,"Asl/Noxred1/Pycr1",3
