"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Lipid metabolism","mmu00565","Ether lipid metabolism","7/118","49/11206",0.142857142857143,13.5665859564165,9.09414668913374,7.15162630312291e-07,0.000147323501844332,0.000124965259612463,"22239/329502/320981/53897/18784/232889/211429",7
"Metabolism","Lipid metabolism","mmu00592","alpha-Linolenic acid metabolism","4/118","25/11206",0.16,15.1945762711864,7.32946775876809,0.00012456418449282,0.0128301110027604,0.0108829761188463,"329502/18784/232889/211429",4
"Metabolism","Lipid metabolism","mmu00591","Linoleic acid metabolism","5/118","55/11206",0.0909090909090909,8.63328197226502,5.85404515116629,0.000271734684097938,0.014104806220469,0.011964219890638,"329502/13113/18784/232889/211429",5
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation","6/118","87/11206",0.0689655172413793,6.54938632378726,5.3603364062074,0.000302617979189354,0.014104806220469,0.011964219890638,"15015/21354/15511/15006/12265/193740",6
"Metabolism","Lipid metabolism","mmu00590","Arachidonic acid metabolism","6/118","89/11206",0.0674157303370786,6.402209103028,5.27828597438638,0.000342349665545365,0.014104806220469,0.011964219890638,"329502/18784/232889/211429/67103/13118",6
"Human Diseases","Immune disease","mmu05340","Primary immunodeficiency","4/118","36/11206",0.111111111111111,10.5517890772128,5.92147245044904,0.000530499057563049,0.0153927343213786,0.013056688284869,"21354/12265/11634/12501",4
"Organismal Systems","Endocrine system","mmu04913","Ovarian steroidogenesis","5/118","64/11206",0.078125,7.41922669491525,5.31265297413061,0.000552401328255737,0.0153927343213786,0.013056688284869,"329502/232889/211429/171282/16867",5
"Organismal Systems","Nervous system","mmu04726","Serotonergic synapse","7/118","137/11206",0.0510948905109489,4.85228256835333,4.67998596677416,0.000597776090150627,0.0153927343213786,0.013056688284869,"329502/14696/232889/211429/13195/15561/15565",7
"Human Diseases","Immune disease","mmu05322","Systemic lupus erythematosus","7/118","150/11206",0.0466666666666667,4.43175141242938,4.36498505476708,0.00102195702875676,0.0233914608804325,0.0198415048858038,"319179/97122/319149/12266/319158/382523/50909",7
"Cellular Processes","Transport and catabolism","mmu04145","Phagocytosis","10/118","306/11206",0.0326797385620915,3.10346737565083,3.84860704322081,0.00143611530280348,0.0295839752377517,0.0250942252910924,"15015/21354/15006/16416/226421/12266/16819/17394/17002/71693",10
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","8/118","215/11206",0.0372093023255814,3.53362238864801,3.86957117752925,0.00193719383706591,0.0362783573123253,0.0307726485122432,"15015/69550/21354/54123/15006/16416/12266/23961",8
"Organismal Systems","Endocrine system","mmu03320","PPAR signaling pathway","5/118","90/11206",0.0555555555555556,5.2758945386064,4.20140256531707,0.00256404394510323,0.0440160877242721,0.0373360784988716,"12140/57435/22227/225579/13118",5
